"name","type1","type2","total","hit_points","attack","defense","special_attack","resistance_to_special_attack","speed"
"Dodrio","Normal","Flying",460,60,110,70,60,60,100
"Seel","Water",NA,325,65,45,55,45,70,45
"Dewgong","Water","Ice",475,90,70,80,70,95,70
"Grimer","Poison",NA,325,80,80,50,40,50,25
"Muk","Poison",NA,500,105,105,75,65,100,50
"Shellder","Water",NA,305,30,65,100,45,25,40
"Cloyster","Water","Ice",525,50,95,180,85,45,70
"Gastly","Ghost","Poison",310,30,35,30,100,35,80
"Haunter","Ghost","Poison",405,45,50,45,115,55,95
"Gengar","Ghost","Poison",500,60,65,60,130,75,110
"Onix","Rock","Ground",385,35,45,160,30,45,70
"Drowzee","Psychic",NA,328,60,48,45,43,90,42
"Hypno","Psychic",NA,483,85,73,70,73,115,67
"Krabby","Water",NA,325,30,105,90,25,25,50
"Kingler","Water",NA,475,55,130,115,50,50,75
"Voltorb","Electric",NA,330,40,30,50,55,55,100
"Electrode","Electric",NA,480,60,50,70,80,80,140
"Exeggcute","Grass","Psychic",325,60,40,80,60,45,40
"Exeggutor","Grass","Psychic",520,95,95,85,125,65,55
"Cubone","Ground",NA,320,50,50,95,40,50,35
"Marowak","Ground",NA,425,60,80,110,50,80,45
"Hitmonlee","Fighting",NA,455,50,120,53,35,110,87
"Hitmonchan","Fighting",NA,455,50,105,79,35,110,76
"Lickitung","Normal",NA,385,90,55,75,60,75,30
"Koffing","Poison",NA,340,40,65,95,60,45,35
"Weezing","Poison",NA,490,65,90,120,85,70,60
"Rhyhorn","Ground","Rock",345,80,85,95,30,30,25
"Rhydon","Ground","Rock",485,105,130,120,45,45,40
"Chansey","Normal",NA,450,250,5,5,35,105,50
"Tangela","Grass",NA,435,65,55,115,100,40,60
"Kangaskhan","Normal",NA,490,105,95,80,40,80,90
"Horsea","Water",NA,295,30,40,70,70,25,60
"Seadra","Water",NA,440,55,65,95,95,45,85
"Goldeen","Water",NA,320,45,67,60,35,50,63
"Seaking","Water",NA,450,80,92,65,65,80,68
"Staryu","Water",NA,340,30,45,55,70,55,85
"Starmie","Water","Psychic",520,60,75,85,100,85,115
"Mr. Mime","Psychic","Fairy",460,40,45,65,100,120,90
"Scyther","Bug","Flying",500,70,110,80,55,80,105
"Jynx","Ice","Psychic",455,65,50,35,115,95,95
"Electabuzz","Electric",NA,490,65,83,57,95,85,105
"Magmar","Fire",NA,495,65,95,57,100,85,93
"Pinsir","Bug",NA,500,65,125,100,55,70,85
"Tauros","Normal",NA,490,75,100,95,40,70,110
"Magikarp","Water",NA,200,20,10,55,15,20,80
"Gyarados","Water","Flying",540,95,125,79,60,100,81
"Lapras","Water","Ice",535,130,85,80,85,95,60
"Ditto","Normal",NA,288,48,48,48,48,48,48
"Eevee","Normal",NA,325,55,55,50,45,65,55
"Vaporeon","Water",NA,525,130,65,60,110,95,65
"Jolteon","Electric",NA,525,65,65,60,110,95,130
"Flareon","Fire",NA,525,65,130,60,95,110,65
"Porygon","Normal",NA,395,65,60,70,85,75,40
"Omanyte","Rock","Water",355,35,40,100,90,55,35
"Omastar","Rock","Water",495,70,60,125,115,70,55
"Kabuto","Rock","Water",355,30,80,90,55,45,55
"Kabutops","Rock","Water",495,60,115,105,65,70,80
"Aerodactyl","Rock","Flying",515,80,105,65,60,75,130
"Snorlax","Normal",NA,540,160,110,65,65,110,30
"Articuno","Ice","Flying",580,90,85,100,95,125,85
"Zapdos","Electric","Flying",580,90,90,85,125,90,100
"Moltres","Fire","Flying",580,90,100,90,125,85,90
"Dratini","Dragon",NA,300,41,64,45,50,50,50
"Dragonair","Dragon",NA,420,61,84,65,70,70,70
"Dragonite","Dragon","Flying",600,91,134,95,100,100,80
"Mewtwo","Psychic",NA,680,106,110,90,154,90,130
"Mew","Psychic",NA,600,100,100,100,100,100,100
